Price,City,District,Neighborhood,Average Price,Listing Number,Listing Update Date,Category,Net Square Meters,Number of Rooms,Floor,Heating Type,Deposit,Number of Bathrooms,Listing Creation Date,Type,Kind,Gross Square Meters,Building Age,Number of Building Floors,Usage Status,Within Site,Price Status,Structure Status,Furnishing Status,Balcony Status,Building Type,Number of WCs,Swap,Bathroom Square Meters,Living Room Square Meters,WC Square Meters,Virtual Tour Available?,Maintenance Fee,Balcony Type,Number of Balconies,Balcony Square Meters
28000TL,İstanbul,Sarıyer,Yeniköy Mahallesi,39330.0,15770829,27 Ağustos 2024,Kiralık,105 m²,2+1,3.Kat,Kombi Doğalgaz,,1,26 Ağustos 2024,Konut,Daire,115 m²,21 Ve Üzeri,3,Boş,Hayır,Genel Fiyat,,,,,,Yok,,,,,,,,
32500TL,İstanbul,Maltepe,Küçükyalı Mahallesi,28160.0,15770828,26 Ağustos 2024,Kiralık,90 m²,3+1,3.Kat,Kombi Doğalgaz,,1,26 Ağustos 2024,Konut,Daire,110 m²,21 Ve Üzeri,4,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
191490TL,İstanbul,Beşiktaş,Mecidiye Mahallesi,56160.0,15770794,29 Ağustos 2024,Kiralık,150 m²,3+1,Düz Giriş (Zemin),Merkezi Doğalgaz,,2,26 Ağustos 2024,Konut,Daire,180 m²,11-15,5,Kiracı Oturuyor,Evet,Genel Fiyat,,,,,,,,,,,,,,
17000TL,İstanbul,Küçükçekmece,Cennet Mahallesi,14500.0,15770746,27 Ağustos 2024,Kiralık,95 m²,2+1,5.Kat,Kombi Doğalgaz,17000 TL,1,26 Ağustos 2024,Konut,Daire,100 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,İkinci El,Boş,Var,Betonarme,1,Yok,4 m²,,2 m²,Evet,100 TL,Açık Balkon,1,3 m²
45000TL,İstanbul,Bahçelievler,Bahçelievler Mahallesi,25200.0,15770692,26 Ağustos 2024,Kiralık,90 m²,2+1,3.Kat,Kombi Doğalgaz,,1,26 Ağustos 2024,Konut,Daire,100 m²,4,4,Kiracı Oturuyor,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
15000TL,İstanbul,Pendik,Güzelyalı Mahallesi,12525.0,15770610,30 Ağustos 2024,Kiralık,70 m²,1+1,4.Kat,Kombi Doğalgaz,15000 TL,1,26 Ağustos 2024,Konut,Daire,75 m²,21 Ve Üzeri,4,Boş,Hayır,Genel Fiyat,İkinci El,Boş,Yok,Betonarme,1,Yok,1 m²,25 m²,1 m²,,0 TL,,,
21000TL,İstanbul,Güngören,Haznedar Mahallesi,20540.0,15770598,26 Ağustos 2024,Kiralık,125 m²,3+1,4.Kat,Kombi Doğalgaz,,1,26 Ağustos 2024,Konut,Daire,130 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,,,,,,Yok,,,,,,,,
28000TL,İstanbul,Güngören,Gençosman Mahallesi,14670.0,15770596,26 Ağustos 2024,Kiralık,82 m²,2+1,2.Kat,Kombi Doğalgaz,,1,26 Ağustos 2024,Konut,Daire,90 m²,0 (Yeni),4,Boş,Evet,Genel Fiyat,,,,,,Yok,,,,,,,,
15000TL,İstanbul,Esenyurt,Üçevler Mahallesi,10710.0,15770523,26 Ağustos 2024,Kiralık,75 m²,1+1,3.Kat,Merkezi (Pay Ölçer),,1,26 Ağustos 2024,Konut,Daire,90 m²,2,10,Boş,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
22000TL,İstanbul,Esenyurt,Zafer Mahallesi,20520.0,15770522,26 Ağustos 2024,Kiralık,120 m²,3+1,Düz Giriş (Zemin),Merkezi (Pay Ölçer),,2,26 Ağustos 2024,Konut,Daire,135 m²,5-10,16,Boş,Evet,Genel Fiyat,,Eşyalı,,,,Yok,,,,,,,,
16000TL,İstanbul,Bahçelievler,Zafer Mahallesi,15400.0,15770478,29 Ağustos 2024,Kiralık,95 m²,2+1,4.Kat,Kombi Doğalgaz,16000 TL,1,26 Ağustos 2024,Konut,Daire,100 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
27000TL,İstanbul,Beylikdüzü,Kavaklı Mahallesi,19435.0,15770452,26 Ağustos 2024,Kiralık,90 m²,2+1,3.Kat,Kombi Doğalgaz,,2,26 Ağustos 2024,Konut,Daire,115 m²,2,4,Boş,Evet,Genel Fiyat,,Eşyalı,,,,Yok,,,,,,,,
