Price,City,District,Neighborhood,Average Price,Listing Number,Listing Update Date,Category,Net Square Meters,Number of Rooms,Floor,Heating Type,Deposit,Number of Bathrooms,Listing Creation Date,Type,Kind,Gross Square Meters,Building Age,Number of Building Floors,Usage Status,Within Site,Price Status,Structure Status,Furnishing Status,Balcony Status,Building Type,Number of WCs,Swap,Bathroom Square Meters,Living Room Square Meters,WC Square Meters,Virtual Tour Available?,Maintenance Fee,Balcony Type,Number of Balconies,Balcony Square Meters
25000TL,İstanbul,Bakırköy,Osmaniye Mahallesi,20900.0,15794285,30 Ağustos 2024,Kiralık,90 m²,2+1,Yüksek Giriş,Merkezi (Pay Ölçer),25000 TL,1,30 Ağustos 2024,Konut,Daire,100 m²,21 Ve Üzeri,5,Boş,Evet,Genel Fiyat,,,,,,,,,,,,,,
14000TL,İstanbul,Küçükçekmece,Kanarya Mahallesi,17250.0,15792263,29 Ağustos 2024,Kiralık,145 m²,3+1,6.Kat,Kombi Doğalgaz,14000 TL,1,29 Ağustos 2024,Konut,Daire,150 m²,21 Ve Üzeri,7,Boş,Hayır,Genel Fiyat,İkinci El,Boş,Var,Betonarme,2,,,,,,,,,
15000TL,İstanbul,Sancaktepe,Meclis Mahallesi,14535.0,15789680,29 Ağustos 2024,Kiralık,75 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,,1,29 Ağustos 2024,Konut,Daire,85 m²,2,5,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
23500TL,İstanbul,Sancaktepe,Meclis Mahallesi,23940.0,15789618,29 Ağustos 2024,Kiralık,120 m²,3+1,2.Kat,Kombi Doğalgaz,,2,29 Ağustos 2024,Konut,Daire,140 m²,11-15,5,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
12000TL,İstanbul,Fatih,Seyyid Ömer Mahallesi,14720.0,15789073,29 Ağustos 2024,Kiralık,75 m²,2+1,Bodrum Kat,Kombi Doğalgaz,12000 TL,1,29 Ağustos 2024,Konut,Daire,80 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,İkinci El,Boş,Yok,Betonarme,1,Yok,5 m²,25 m²,5 m²,Evet,100 TL,,,
16000TL,İstanbul,Beylikdüzü,Yakuplu Mahallesi,12400.0,15786429,28 Ağustos 2024,Kiralık,60 m²,2+1,Çatı Katı,Kombi Doğalgaz,32000 TL,1,28 Ağustos 2024,Konut,Daire,80 m²,11-15,5,Boş,Hayır,Genel Fiyat,İkinci El,,Var,Betonarme,,,,,,,250 TL," Açık Balkon, Açık Teras  ",2,
20000TL,İstanbul,Bahçelievler,Şirinevler Mahallesi,14130.0,15784915,28 Ağustos 2024,Kiralık,80 m²,2+1,Bahçe Katı,Kombi Doğalgaz,20000 TL,1,28 Ağustos 2024,Konut,Daire,90 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,,,Var,,,,,,,Evet,,,1,
30000TL,İstanbul,Şişli,Harbiye Mahallesi,,15778045,27 Ağustos 2024,Kiralık,140 m²,1 Oda,,Kombi Doğalgaz,60000 TL,1,27 Ağustos 2024,Konut,Köşk,150 m²,21 Ve Üzeri,3,Boş,Hayır,Genel Fiyat,İkinci El,Eşyalı,Yok,Betonarme,1,Yok,,,,Hayır,,,,
37500TL,İstanbul,Şişli,Harbiye Mahallesi,,15777948,27 Ağustos 2024,Kiralık,140 m²,1+1,,Kombi Doğalgaz,75000 TL,1,27 Ağustos 2024,Konut,Köşk,150 m²,21 Ve Üzeri,3,Boş,Hayır,Genel Fiyat,,Eşyalı,,Betonarme,1,Yok,,,,Hayır,,,,
40000TL,İstanbul,Şişli,Harbiye Mahallesi,,15777725,27 Ağustos 2024,Kiralık,140 m²,1+1,,Kombi Doğalgaz,80000 TL,1,27 Ağustos 2024,Konut,Köşk,150 m²,21 Ve Üzeri,3,Boş,Hayır,Genel Fiyat,İkinci El,Eşyalı,Var,Betonarme,1,Yok,,,,Hayır,,,1,
26000TL,İstanbul,Kartal,Hürriyet Mahallesi,21087.0,15776114,27 Ağustos 2024,Kiralık,68 m²,2+1,13.Kat,Merkezi Doğalgaz,,1,27 Ağustos 2024,Konut,Daire,99 m²,0 (Yeni),21,Boş,Evet,Genel Fiyat,,,,,,,,,,,,,,
18000TL,İstanbul,Bahçelievler,Hürriyet Mahallesi,14725.0,15770391,26 Ağustos 2024,Kiralık,85 m²,2+1,2.Kat,Kombi Doğalgaz,18000 TL,1,26 Ağustos 2024,Konut,Daire,95 m²,21 Ve Üzeri,4,Boş,Hayır,Genel Fiyat,,,Var,,,,,,,,," Açık Balkon, Kapalı Balkon  ",2,
18000arrow_downward%10TL,İstanbul,Büyükçekmece,Ulus Mahallesi,14560.0,15767276,30 Ağustos 2024,Kiralık,120 m²,3+1,4.Kat,Kombi Doğalgaz,18000 TL,2,25 Ağustos 2024,Konut,Daire,130 m²,3,5,Boş,Hayır,Genel Fiyat,İkinci El,Boş,Var,Betonarme,2,Yok,,,,Hayır,,,1,
30000TL,İstanbul,Esenyurt,Cumhuriyet Mahallesi,16740.0,15766644,25 Ağustos 2024,Kiralık,85 m²,2+1,4.Kat,Kombi Doğalgaz,60000 TL,2,25 Ağustos 2024,Konut,Daire,108 m²,16-20,17,Boş,Evet,Genel Fiyat,İkinci El,Eşyalı,Var,Kagir,2,,4 m²,30 m²,5 m²,Evet,1990 TL,Fransız Balkon,1,2 m²
21000TL,İstanbul,Ümraniye,Namık Kemal Mahallesi,24200.0,15765924,30 Ağustos 2024,Kiralık,95 m²,2+1,2.Kat,Kombi Doğalgaz,21000 TL,2,25 Ağustos 2024,Konut,Daire,110 m²,16-20,4,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
18000TL,İstanbul,Bahçelievler,Hürriyet Mahallesi,12400.0,15765892,26 Ağustos 2024,Kiralık,75 m²,2+1,3.Kat,Kombi Doğalgaz,18000 TL,1,25 Ağustos 2024,Konut,Daire,80 m²,11-15,5,Boş,Hayır,Genel Fiyat,,,Var,,,,,,,,100 TL,,,
680000arrow_downward%15TL,İstanbul,Beşiktaş,Nisbetiye Mahallesi,247962.0,15754460,28 Ağustos 2024,Kiralık,426 m²,6+1,18.Kat,Merkezi (Pay Ölçer),,4,23 Ağustos 2024,Konut,Residence,578 m²,1,44,Boş,Evet,Genel Fiyat,,,,,,,,,,,,,,
25000TL,İstanbul,Fatih,Akşemsettin Mahallesi,24720.0,15739142,30 Ağustos 2024,Kiralık,115 m²,3+1,2.Kat,Kombi Doğalgaz,30000 TL,1,21 Ağustos 2024,Konut,Daire,120 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,,,Var,,,,,,,,,Açık Balkon,1,
19000TL,İstanbul,Esenler,Mimar Sinan Mahallesi,13500.0,15734890,29 Ağustos 2024,Kiralık,85 m²,2+1,Bahçe Katı,Kombi Doğalgaz,19000 TL,1,20 Ağustos 2024,Konut,Daire,90 m²,5-10,4,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
10000arrow_downward%17TL,İstanbul,Esenler,Kazım Karabekir Mahallesi,10595.0,15728268,28 Ağustos 2024,Kiralık,60 m²,1+1,Bahçe Katı,Kombi Doğalgaz,,1,19 Ağustos 2024,Konut,Daire,65 m²,11-15,4,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
35000TL,İstanbul,Kadıköy,Rasimpaşa Mahallesi,23440.0,15722775,27 Ağustos 2024,Kiralık,75 m²,2+1,5.Kat,Kombi Doğalgaz,70000 TL,1,18 Ağustos 2024,Konut,Daire,80 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,,Eşyalı,Var,,,,,,,,150 TL,,,
28000TL,İstanbul,Sarıyer,İstinye Mahallesi,30900.0,15708160,22 Ağustos 2024,Kiralık,90 m²,2+1,4.Kat,Kombi Doğalgaz,28000 TL,1,16 Ağustos 2024,Konut,Daire,100 m²,21 Ve Üzeri,4,Kiracı Oturuyor,Hayır,Genel Fiyat,,,Var,,,,,,,,400 TL,Kapalı Balkon,1,5 m²
16000TL,İstanbul,Bahçelievler,Hürriyet Mahallesi,15500.0,15670983,29 Ağustos 2024,Kiralık,90 m²,2+1,4.Kat,Kombi Doğalgaz,25000 TL,1,09 Ağustos 2024,Konut,Daire,100 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,,,Var,,,,,,,,,,,
10000arrow_downward%17TL,İstanbul,Sarıyer,Bahçeköy Kemer Mahallesi,32700.0,15670007,27 Ağustos 2024,Kiralık,135 m²,3+1,3.Kat,Kombi Doğalgaz,10000 TL,2,09 Ağustos 2024,Konut,Daire,150 m²,16-20,4,Boş,Hayır,Birim Fiyat,,Eşyalı,Var,,2,,,,,,,Kapalı Balkon,1,6 m²
25000arrow_downward%7TL,İstanbul,Pendik,Çınardere Mahallesi,21420.0,15653757,15 Ağustos 2024,Kiralık,85 m²,2+1,5.Kat,Kombi Doğalgaz,,1,06 Ağustos 2024,Konut,Daire,105 m²,4,7,Boş,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
26500arrow_downward%9TL,İstanbul,Ümraniye,Atakent Mahallesi,30000.0,15651190,29 Ağustos 2024,Kiralık,135 m²,3+1,2.Kat,Kombi Doğalgaz,,2,06 Ağustos 2024,Konut,Daire,150 m²,21 Ve Üzeri,4,Boş,Evet,Genel Fiyat,,,Var,,1,,,,,,,,1,20 m²
45000TL,İstanbul,Başakşehir,Bahçeşehir 2. Kısım Mahallesi,45925.0,15641803,26 Ağustos 2024,Kiralık,245 m²,4+1,,Kombi Doğalgaz,,2,04 Ağustos 2024,Konut,Villa,275 m²,16-20,3,Boş,Hayır,Genel Fiyat,,,,,,Yok,,,,,800 TL,,,
15000TL,İstanbul,Esenyurt,Balıkyolu Mahallesi,11660.0,15450201,22 Ağustos 2024,Kiralık,95 m²,2+1,4.Kat,Kombi Doğalgaz,,1,08 Temmuz 2024,Konut,Daire,110 m²,5-10,5,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
12500TL,İstanbul,Fatih,Koca Mustafapaşa Mahallesi,13500.0,15434233,27 Ağustos 2024,Kiralık,68 m²,1.5+1,3.Kat,Kombi Doğalgaz,,1,05 Temmuz 2024,Konut,Daire,75 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
42500TL,İstanbul,Sultangazi,Eski Habipler Mahallesi,30450.0,15316197,30 Ağustos 2024,Kiralık,135 m²,4+1,6.Kat,Yerden Isıtma,,2,09 Haziran 2024,Konut,Daire,150 m²,0 (Yeni),12,Boş,Evet,Genel Fiyat,,,,,,Yok,,,,,,,,
10000TL,İstanbul,Fatih,Koca Mustafapaşa Mahallesi,11700.0,15156861,27 Ağustos 2024,Kiralık,58 m²,1+1,4.Kat,Kombi Doğalgaz,,1,13 Mayıs 2024,Konut,Daire,65 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
11500TL,İstanbul,Esenler,Oruçreis Mahallesi,11600.0,14800973,29 Ağustos 2024,Kiralık,75 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,11500 TL,1,04 Mart 2024,Konut,Daire,80 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
35000TL,İstanbul,Arnavutköy,Hadımköy Mahallesi,38480.0,13885373,09 Ağustos 2024,Kiralık,240 m²,4+2,Çatı Dubleks,Merkezi Doğalgaz,40000 TL,2,06 Eylül 2023,Konut,Daire,260 m²,11-15,5,Boş,Evet,Genel Fiyat,,,Var,,2,,,,,,1750 TL,,,
42000TL,İstanbul,Büyükçekmece,Pınartepe Mahallesi,40527.0,12021100,27 Ağustos 2024,Kiralık,190 m²,4+1,9.Kat,Merkezi (Pay Ölçer),,2,19 Ekim 2022,Konut,Daire,237 m²,4,12,Mülk Sahibi Oturuyor,Hayır,Genel Fiyat,,Eşyalı,,,,Yok,,,,,,,,
15000TL,İstanbul,Küçükçekmece,Kanarya Mahallesi,8625.0,15799095,30 Ağustos 2024,Kiralık,70 m²,2+1,Bahçe Katı,Kombi Doğalgaz,,1,30 Ağustos 2024,Konut,Daire,75 m²,5-10,3,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
24000TL,İstanbul,Küçükçekmece,Cennet Mahallesi,23925.0,15799049,30 Ağustos 2024,Kiralık,163 m²,3+1,4.Kat,Kombi Doğalgaz,24000 TL,1,30 Ağustos 2024,Konut,Daire,165 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,İkinci El,Boş,Var,Betonarme,1,,,,,,100 TL,Kapalı Balkon,2,
42000TL,İstanbul,Fatih,Karagümrük Mahallesi,29920.0,15799000,30 Ağustos 2024,Kiralık,145 m²,3+1,3.Kat,Merkezi Doğalgaz,50000 TL,1,30 Ağustos 2024,Konut,Daire,160 m²,21 Ve Üzeri,7,Boş,Evet,Genel Fiyat,İkinci El,Boş,Var,Betonarme,1,Yok,,,,,,Kapalı Balkon,1,
16000TL,İstanbul,Maltepe,Zümrütevler Mahallesi,18675.0,15798919,30 Ağustos 2024,Kiralık,65 m²,1+1,Yüksek Giriş,Kombi Doğalgaz,,1,30 Ağustos 2024,Konut,Daire,75 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
38000TL,İstanbul,Pendik,Doğu Mahallesi,27000.0,15798788,30 Ağustos 2024,Kiralık,135 m²,3+1,7.Kat,Merkezi (Pay Ölçer),38000 TL,2,30 Ağustos 2024,Konut,Daire,150 m²,5-10,8,Boş,Hayır,Genel Fiyat,Sıfır,Boş,Var,Betonarme,2,Yok,,,,,,Açık Balkon,1,
45000TL,İstanbul,Sarıyer,Kireçburnu Mahallesi,48400.0,15798642,30 Ağustos 2024,Kiralık,180 m²,4+1,2.Kat,Kombi Doğalgaz,80000 TL,2,30 Ağustos 2024,Konut,Daire,200 m²,21 Ve Üzeri,3,Boş,Hayır,Genel Fiyat,İkinci El,Eşyalı,Var,Betonarme,2,Yok,,,,Hayır,,Açık Balkon,1,
20500TL,İstanbul,Bayrampaşa,Terazidere Mahallesi,12810.0,15798589,30 Ağustos 2024,Kiralık,65 m²,1+1,1.Kat,Kombi Doğalgaz,,1,30 Ağustos 2024,Konut,Daire,70 m²,21 Ve Üzeri,4,Boş,Hayır,Genel Fiyat,,Eşyalı,,,,Yok,,,,,,,,
30000TL,İstanbul,Esenler,Tuna Mahallesi,13500.0,15798587,30 Ağustos 2024,Kiralık,95 m²,2+1,4.Kat,Kombi Doğalgaz,,1,30 Ağustos 2024,Konut,Daire,100 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,,Eşyalı,,,,Yok,,,,,,,,
15000TL,İstanbul,Bahçelievler,Siyavuşpaşa Mahallesi,13600.0,15798586,30 Ağustos 2024,Kiralık,80 m²,2+1,Bahçe Katı,Kombi Doğalgaz,,1,30 Ağustos 2024,Konut,Daire,85 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
35000TL,İstanbul,Beykoz,Rüzgarlıbahçe Mahallesi,19300.0,15798512,30 Ağustos 2024,Kiralık,95 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,35000 TL,1,30 Ağustos 2024,Konut,Daire,100 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,İkinci El,Eşyalı,Var,,2,Yok,,,,,,Açık Balkon,1,
18000TL,İstanbul,Bahçelievler,Siyavuşpaşa Mahallesi,14400.0,15798399,30 Ağustos 2024,Kiralık,80 m²,2+1,4.Kat,Kombi Doğalgaz,,1,30 Ağustos 2024,Konut,Daire,90 m²,21 Ve Üzeri,5,Kiracı Oturuyor,Hayır,Genel Fiyat,,,,,,,,,,,,,,
28000TL,İstanbul,Bakırköy,Sakızağacı Mahallesi,27390.0,15798391,30 Ağustos 2024,Kiralık,85 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,30000 TL,1,30 Ağustos 2024,Konut,Daire,110 m²,21 Ve Üzeri,4,Boş,Hayır,Genel Fiyat,,,,,,,,,,,150 TL,,,
25000TL,İstanbul,Bahçelievler,Zafer Mahallesi,21560.0,15798373,30 Ağustos 2024,Kiralık,130 m²,3+1,3.Kat,Kombi Doğalgaz,50000 TL,1,30 Ağustos 2024,Konut,Daire,140 m²,16-20,4,Boş,Evet,Genel Fiyat,,,,,,,,,,,,,,
15000TL,İstanbul,Esenyurt,Mehterçeşme Mahallesi,10620.0,15798213,30 Ağustos 2024,Kiralık,80 m²,1+1,Yüksek Giriş,Kombi Doğalgaz,,1,30 Ağustos 2024,Konut,Daire,90 m²,5-10,6,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
110000TL,İstanbul,Üsküdar,Küçüksu Mahallesi,139700.0,15798194,30 Ağustos 2024,Kiralık,450 m²,8+2,,Kombi Doğalgaz,,4,30 Ağustos 2024,Konut,Villa,550 m²,21 Ve Üzeri,4,Boş,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
46000TL,İstanbul,Üsküdar,Bahçelievler Mahallesi,35200.0,15798188,30 Ağustos 2024,Kiralık,100 m²,3+1,3.Kat,Yerden Isıtma,,2,30 Ağustos 2024,Konut,Daire,110 m²,0 (Yeni),7,Boş,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
20000TL,İstanbul,Bayrampaşa,Yenidoğan Mahallesi,20240.0,15798180,30 Ağustos 2024,Kiralık,100 m²,2+1,5.Kat,Kombi Doğalgaz,30000 TL,2,30 Ağustos 2024,Konut,Daire,110 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,İkinci El,,Var,Çelik,1,,,,,,100 TL,Açık Balkon,1,
19000TL,İstanbul,Kadıköy,Rasimpaşa Mahallesi,21975.0,15798168,30 Ağustos 2024,Kiralık,60 m²,2+1,Bahçe Katı,Kombi Doğalgaz,,1,30 Ağustos 2024,Konut,Daire,75 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
30000TL,İstanbul,Bahçelievler,Şirinevler Mahallesi,18840.0,15798144,30 Ağustos 2024,Kiralık,110 m²,3+1,3.Kat,Kombi Doğalgaz,30000 TL,1,30 Ağustos 2024,Konut,Daire,120 m²,5-10,6,Boş,Hayır,Genel Fiyat,,,Var,,2,,,,,,200 TL,,,
25000TL,İstanbul,Şişli,Duatepe Mahallesi,23500.0,15798137,30 Ağustos 2024,Kiralık,80 m²,2+1,Kot 1 (-1).Kat,Kombi Doğalgaz,,1,30 Ağustos 2024,Konut,Daire,100 m²,11-15,5,Boş,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
30000TL,İstanbul,Şişli,Cumhuriyet Mahallesi,37530.0,15798136,30 Ağustos 2024,Kiralık,70 m²,2+1,4.Kat,Kombi Doğalgaz,,1,30 Ağustos 2024,Konut,Daire,90 m²,21 Ve Üzeri,6,Boş,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
23000TL,İstanbul,Gaziosmanpaşa,Karadeniz Mahallesi,18924.0,15798135,30 Ağustos 2024,Kiralık,48 m²,1+1,11.Kat,Merkezi (Pay Ölçer),,1,30 Ağustos 2024,Konut,Residence,76 m²,5-10,22,Boş,Evet,Genel Fiyat,,,,,,,,,,,,,,
18000TL,İstanbul,Sultanbeyli,Adil Mahallesi,16470.0,15798116,30 Ağustos 2024,Kiralık,80 m²,2+1,2.Kat,Kombi Doğalgaz,,2,30 Ağustos 2024,Konut,Daire,90 m²,5-10,4,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
30000TL,İstanbul,Silivri,Mimar Sinan Mahallesi,26860.0,15798053,30 Ağustos 2024,Kiralık,145 m²,3+1,9.Kat,Yerden Isıtma,,2,30 Ağustos 2024,Konut,Daire,170 m²,4,9,Boş,Evet,Genel Fiyat,,,,,,,,,,,,,,
21500TL,İstanbul,Sancaktepe,Yunus Emre Mahallesi,23100.0,15798018,30 Ağustos 2024,Kiralık,140 m²,3+2,Bahçe Dublex,Kombi Doğalgaz,,2,30 Ağustos 2024,Konut,Daire,150 m²,4,3,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
18000TL,İstanbul,Şişli,Teşvikiye Mahallesi,19575.0,15798008,30 Ağustos 2024,Kiralık,36 m²,1+1,Kot 2 (-2).Kat,Merkezi Doğalgaz,18000 TL,1,30 Ağustos 2024,Konut,Daire,45 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,İkinci El,,,Betonarme,,,,,,Evet,3000 TL,,,
20000TL,İstanbul,Arnavutköy,Hadımköy Mahallesi,23680.0,15797961,30 Ağustos 2024,Kiralık,145 m²,3+1,3.Kat,Merkezi Doğalgaz,20000 TL,1,30 Ağustos 2024,Konut,Daire,160 m²,5-10,10,Boş,Evet,Genel Fiyat,,,,,1,,,,,,1000 TL,,2,
30000TL,İstanbul,Ümraniye,Cemil Meriç Mahallesi,15640.0,15797956,30 Ağustos 2024,Kiralık,80 m²,2+1,1.Kat,Kombi Doğalgaz,30000 TL,1,30 Ağustos 2024,Konut,Daire,85 m²,0 (Yeni),5,Boş,Hayır,Genel Fiyat,Sıfır,Boş,Var,Betonarme,1,Yok,,,,Evet,250 TL,Açık Balkon,1,
15500TL,İstanbul,Avcılar,Denizköşkler Mahallesi,14690.0,15797917,30 Ağustos 2024,Kiralık,125 m²,3+1,2.Kat,Kombi Doğalgaz,15500 TL,1,30 Ağustos 2024,Konut,Daire,130 m²,21 Ve Üzeri,4,Boş,Hayır,Genel Fiyat,,,Var,,,,,,,,150 TL,,1,
26500TL,İstanbul,Ümraniye,İstiklal Mahallesi,27625.0,15797905,30 Ağustos 2024,Kiralık,110 m²,3+1,3.Kat,Kombi Doğalgaz,,1,30 Ağustos 2024,Konut,Daire,125 m²,21 Ve Üzeri,5,Boş,Evet,Genel Fiyat,,,,,,,,,,,,,,
18000TL,İstanbul,Bağcılar,Fevzi Çakmak Mahallesi,16215.0,15797653,30 Ağustos 2024,Kiralık,100 m²,2+1,3.Kat,Kombi Doğalgaz,36000 TL,1,30 Ağustos 2024,Konut,Daire,115 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,,,Var,,,,,,,,,,,
270000TL,İstanbul,Beykoz,Acarlar Mahallesi,239850.0,15797648,30 Ağustos 2024,Kiralık,400 m²,4+1,,Kombi Doğalgaz,,4,30 Ağustos 2024,Konut,Villa,450 m²,11-15,2,Boş,Evet,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
640000TL,İstanbul,Beykoz,Acarlar Mahallesi,309140.0,15797645,30 Ağustos 2024,Kiralık,550 m²,5+2,,Kombi Doğalgaz,,6+,30 Ağustos 2024,Konut,Villa,580 m²,5-10,4,Mülk Sahibi Oturuyor,Evet,Genel Fiyat,,Eşyalı,,,,Yok,,,,,,,,
18000TL,İstanbul,Sancaktepe,Fatih Mahallesi,12730.0,15797637,30 Ağustos 2024,Kiralık,60 m²,2+1,1.Kat,Merkezi (Pay Ölçer),18000 TL,1,30 Ağustos 2024,Konut,Daire,67 m²,5-10,4,Boş,Hayır,Genel Fiyat,,,,,,,,,,,150 TL,,,
42000TL,İstanbul,Pendik,Yenişehir Mahallesi,37599.0,15797626,30 Ağustos 2024,Kiralık,112 m²,3+1,8.Kat,Kombi Doğalgaz,,2,30 Ağustos 2024,Konut,Daire,151 m²,11-15,9,Mülk Sahibi Oturuyor,Evet,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
43000TL,İstanbul,Maltepe,Zümrütevler Mahallesi,28884.0,15797614,30 Ağustos 2024,Kiralık,100 m²,3+1,2.Kat,Kombi Doğalgaz,,2,30 Ağustos 2024,Konut,Daire,116 m²,0 (Yeni),6,Boş,Hayır,Genel Fiyat,,Eşyalı,,,,Yok,,,,,,,,
24000TL,İstanbul,Eyüpsultan,Rami Cuma Mahallesi,17380.0,15797557,30 Ağustos 2024,Kiralık,95 m²,2+1,4.Kat,Kombi Doğalgaz,24000 TL,1,30 Ağustos 2024,Konut,Daire,110 m²,21 Ve Üzeri,4,Boş,Hayır,Genel Fiyat,,,Var,,,,,,,,100 TL,Açık Balkon,2,
15000TL,İstanbul,Başakşehir,Güvercintepe Mahallesi,12635.0,15797552,30 Ağustos 2024,Kiralık,90 m²,2+1,3.Kat,Merkezi Doğalgaz,15000 TL,1,30 Ağustos 2024,Konut,Daire,95 m²,5-10,4,Boş,Hayır,Genel Fiyat,,,,,,,,,,,0 TL,,,
26000TL,İstanbul,Bakırköy,Osmaniye Mahallesi,20900.0,15797534,30 Ağustos 2024,Kiralık,90 m²,2+1,1.Kat,Kombi Doğalgaz,,1,30 Ağustos 2024,Konut,Daire,100 m²,21 Ve Üzeri,4,Boş,Hayır,Genel Fiyat,,,,,,,,,,,,,,
26000TL,İstanbul,Fatih,Yavuz Sultan Selim Mahallesi,7960.0,15797507,30 Ağustos 2024,Kiralık,30 m²,1 Oda,3.Kat,Merkezi Doğalgaz,0 TL,1,30 Ağustos 2024,Konut,Daire,40 m²,4,5,Boş,Hayır,Birim Fiyat,Sıfır,Eşyalı,Var,Betonarme,1,,,,,Evet,0 TL,Açık Balkon,1,2 m²
15000TL,İstanbul,Beylikdüzü,Kavaklı Mahallesi,13520.0,15797504,30 Ağustos 2024,Kiralık,70 m²,2+1,1.Kat,Kombi Doğalgaz,30000 TL,1,30 Ağustos 2024,Konut,Daire,80 m²,1,4,Boş,Hayır,Genel Fiyat,Sıfır,Boş,Yok,Betonarme,1,Yok,,,,,200 TL,,,
21000TL,İstanbul,Sultangazi,Esentepe Mahallesi,16440.0,15797477,30 Ağustos 2024,Kiralık,100 m²,3+1,3.Kat,Kombi Doğalgaz,20000 TL,1,30 Ağustos 2024,Konut,Daire,120 m²,11-15,5,Boş,Hayır,Genel Fiyat,,,Var,,,,,,,,,,,
20000TL,İstanbul,Bahçelievler,Soğanlı Mahallesi,10500.0,15797449,30 Ağustos 2024,Kiralık,65 m²,1+1,5.Kat,Kombi Doğalgaz,20000 TL,1,30 Ağustos 2024,Konut,Daire,70 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,,,,,,,,,,,80 TL,,,
15000TL,İstanbul,Silivri,Cumhuriyet Mahallesi,22880.0,15797428,30 Ağustos 2024,Kiralık,110 m²,3+1,3.Kat,Kombi Doğalgaz,,1,30 Ağustos 2024,Konut,Daire,130 m²,16-20,3,Boş,Hayır,Genel Fiyat,İkinci El,Eşyalı,Var,Betonarme,1,Yok,,,,,,,2,
23000TL,İstanbul,Eyüpsultan,Karadolap Mahallesi,22700.0,15797405,30 Ağustos 2024,Kiralık,85 m²,2+1,Çatı Dubleks,Kombi Doğalgaz,23000 TL,1,30 Ağustos 2024,Konut,Daire,100 m²,5-10,3,Boş,Hayır,Genel Fiyat,,,Var,,,,,,,,100 TL,,1,
45000TL,İstanbul,Maltepe,Altıntepe Mahallesi,32780.0,15797331,30 Ağustos 2024,Kiralık,100 m²,2+1,4.Kat,Kombi Doğalgaz,45000 TL,2,30 Ağustos 2024,Konut,Daire,110 m²,5-10,4,Boş,Hayır,Genel Fiyat,,,Var,,,,,,,,350 TL,,,
33000TL,İstanbul,Şişli,19 Mayıs Mahallesi,31165.0,15797330,30 Ağustos 2024,Kiralık,21 m²,3+1,Yüksek Giriş,Doğalgaz Sobalı,,1,30 Ağustos 2024,Konut,Daire,115 m²,21 Ve Üzeri,5,Kiracı Oturuyor,Hayır,Birim Fiyat,,,Var,,,,,,,,,Kapalı Teras,1,
9500TL,İstanbul,Kağıthane,Çağlayan Mahallesi,12155.0,15797316,30 Ağustos 2024,Kiralık,50 m²,1+1,1.Kat,Sobalı,9500 TL,1,30 Ağustos 2024,Konut,Daire,55 m²,16-20,2,Boş,Hayır,Genel Fiyat,,Boş,Var,,1,,,,,,50 TL,,1,
